Marca da Bike;Modelo da Bike;Tipo da bicicleta;Valor
Domane;Domane SL 6 3ª Geração;Estrada;R$ 35.999,00
Stumpjumper;Stumpjumper Alloy;Trilha;R$ 21.490,00
Endurance;GIANT DEFY ADVANCED PRO 1;Estrada;R$ 26.706,63
CANONDALE;CANNONDALE SYNAPSE CARBON DISC ULTEGRA;Estrada;R$ 26.999,00
MTB;GTS M1 FAT;Estrada;R$ 26.990,00
Bianchi;OLTRE XR4;Estrada;R$ 40.062,61
Canyon;Ultimate CF SLX 8 Force AXS;Estrada;R$ 32.407,94
Orbea Orca;M20ILTD Ultegra Di2 2023;Estrada;R$ 38.999,00
Scott; SCOTT ADDICT RC PRO;Estrada;R$ 38.500,00
Focus;Izalco max 2016;Estrada;R$ 27.000,00
Pinarello;DOGMA F12 DISK SRAM RED AXS ETAP;Estrada;R$ 151.200,00
BMC;Teammachine SLR Four;Estrada;R$ 49.294,55
Scott;Speedster Gravel 30;Estrada;R$ 16.559,91
Specialized;Crux (Gravel);Estrada;R$ 26.680,00
Cannondale;Cannondale SuperSix EVO;Estrada;R$ 26.000,00
Giant;Propel;Estrada;R$ 11.039,08
Sense ; Impact Race;Estrada;R$ 10.990,00
Redstone;Gravel Shimano Redstone Fusion 14v;Fixa;R$ 5.190,00
RAIDER;Raider Z3X Pro 12v;Passeio;R$ 1.899,00
GT;Avalanche Elite 29 XLE;Montanha;R$ 4.499,00
Black Orange;Stone Elite Carbon 105;Estrada;R$ 7.580,00
Merida;Scultura 400;Speed;R$ 6.472,80
Kona;Big Honzo 2023;Fat Bike;R$ 15.000
Legion;‎M41200U20OS-PC;BMX;R$ 3.000,00
VTEC;BICICLETA GTSM1;Estrada;R$ 2.024,10
KRW;S61;Passeio;R$ 1.259,10
KRW;S99 ;Passeio;R$ 1.574,10
KRW;Traction SX47;Passeio;R$ 1.979,10
KRW;Ultraparty SX48;Passeio;R$ 1.979,10
KRW;S90;Passeio;R$ 1.979,10
Caloi;E-VIBE CITY TOUR;Eletrica;R$ 6.990,00
Caloi;E-VIBE ELITE;Eletrica;R$ 25.959,00
Caloi;E-VIBE ELITE FS;Eletrica;R$ 32.299,00
Caloi;E-VIBE ELITE FS PRO;Eletrica;R$ 43.999,00
Caloi;E-VIBE URBAM;Eletrica;R$ 8.199,00
Caloi;Caloi 10;Estrada;R$ 1.999,00
Caloi;Strada;Estrada;R$ 5.399,00
Caloi;Strada Racing;Estrada;R$ 8.399,00
Caloi;Atacama F;Montanha;R$ 3.799,00
Caloi;Atacama Flex;Montanha;R$ 3.399,00
Caloi;Atacama M;Montanha;R$ 3.799,00
Caloi;Caloi 29;Montanha;R$ 2.869,00
Caloi;Caloi 29 Flex;Montanha;R$ 2.669,00
Caloi;Explorer 10;Montanha;R$ 1.999,00
Caloi;Explorer Comp;Montanha;R$ 3.299,00
Caloi;Explorer Comp - 2023;Montanha;R$ 3.299,00
Caloi;Explorer Expert;Montanha;R$ 5.999,00
Caloi;Explorer Expert - 2023;Montanha;R$ 5.999,00
Caloi;Explorer Sport;Montanha;R$ 2.499,00
